0.000,7.457,-7.482,-12.340
1.000,-6.772,6.234,21.199
2.000,-1.955,-10.900,2.404
3.000,6.672,-5.049,-3.012
4.000,3.782,-0.773,2.270
5.000,-8.991,9.928,26.314
6.000,-0.663,-2.144,6.189
7.000,-7.352,2.457,13.666
8.000,5.513,-6.988,-6.049
9.000,-8.862,3.223,21.505
10.000,12.698,-10.276,-13.844
11.000,-0.425,-1.528,10.422
12.000,8.186,-6.233,-6.086
13.000,-6.447,6.485,22.268
14.000,1.311,-6.479,-0.993
15.000,10.244,-7.557,-10.158
16.000,0.989,2.490,10.302
17.000,5.811,7.020,7.520
18.000,6.347,3.208,5.088
19.000,8.688,-6.091,-6.894
20.000,1.102,4.579,10.993
21.000,-6.013,-8.730,12.316
22.000,0.872,0.648,8.087
23.000,-8.732,-3.157,18.846
24.000,-4.851,2.936,15.590
25.000,-3.463,9.619,24.838
26.000,-8.772,7.263,23.016
27.000,9.034,-8.057,-1.592
28.000,-5.439,-3.025,17.303
29.000,6.808,6.839,2.229
30.000,10.579,0.491,1.007
31.000,6.069,6.723,10.415
32.000,5.634,3.684,7.707
33.000,-10.504,10.696,30.535
34.000,4.911,-6.108,3.601
35.000,-4.715,1.154,19.705
36.000,2.962,1.159,8.426
37.000,8.431,3.734,5.088
38.000,-7.667,-4.874,23.879
39.000,3.926,-9.246,2.895
40.000,-4.049,6.475,22.504
41.000,-5.364,6.863,28.708
42.000,-7.684,0.413,22.089
43.000,4.145,-6.265,2.508
44.000,6.924,-7.373,2.369
45.000,-1.398,-4.834,16.251
46.000,10.213,6.117,12.923
47.000,11.241,-8.750,1.929
48.000,5.992,7.790,18.285
49.000,7.864,-0.284,5.211
50.000,-10.579,-6.739,25.894
51.000,-6.662,1.744,27.310
52.000,6.041,-4.811,2.918
53.000,-9.119,-8.515,22.483
54.000,6.232,-2.538,5.642
55.000,-6.773,-1.853,29.302
56.000,-3.892,0.184,25.785
57.000,-1.840,-4.762,19.075
58.000,-5.952,0.636,30.460
59.000,-3.375,7.646,32.226
60.000,0.599,-10.497,13.796
61.000,8.347,-9.877,5.524
62.000,1.227,6.093,23.444
63.000,-8.617,8.939,38.052
64.000,-2.720,-3.195,20.243
65.000,-6.385,-0.101,28.078
66.000,-9.609,9.804,34.819
67.000,-8.187,-6.689,25.778
68.000,-7.094,0.409,29.526
69.000,0.591,-2.675,24.862
70.000,0.988,6.159,24.645
71.000,7.842,-0.757,13.630
72.000,-9.995,-4.774,31.329
73.000,5.223,-7.374,10.360
74.000,6.798,-5.177,7.574
75.000,5.026,4.176,22.165
76.000,3.280,-3.292,17.691
77.000,-8.995,3.844,41.508
78.000,-6.470,-4.924,28.629
79.000,1.448,-9.767,18.215
80.000,-0.827,5.572,30.405
81.000,3.156,-7.283,20.178
82.000,-3.087,-8.672,22.864
83.000,3.934,-1.375,18.661
84.000,-9.023,-8.779,33.291
85.000,5.678,-0.401,15.304
86.000,6.957,1.290,11.623
87.000,7.485,7.380,24.740
88.000,3.075,-9.705,12.381
89.000,-5.585,-7.785,32.257
90.000,3.611,-10.054,15.526
91.000,-6.053,-0.297,33.677
92.000,5.676,-7.761,14.607
93.000,-6.664,-12.686,26.117
94.000,-1.934,8.800,37.455
95.000,2.358,-4.801,23.449
96.000,-6.439,6.852,39.571
97.000,3.350,1.130,19.348
98.000,-6.356,1.565,38.937
99.000,-7.806,7.596,45.342
